"Region","naics","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"Detroit",213114,0,0,0,0,0,0,0,0,3,3,2,0.00000106261851517127,0.0605794463205364,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.333333333333333,-0.0181818181818182,0.677521008403361,0.594865372573576,0.301923831959168,-0.0102533172496985,0.0792199878123097,-0.107001693958216,0.100853619981031,-0.323090178058587,-0.0967331353415358,0,-0.0843445427345645,"Support Activities for Metal Mining","2"
"Detroit",213115,0,0,0,3,2,5,6,3,0,0,0,0,0,NA,NA,NA,-0.333333333333333,1.5,0.2,-0.5,-1,NA,NA,-0.0412121212121212,0.10742830277386,0.293780513691361,-0.455947497949139,-0.31875753920386,-0.0402833111996459,0.144833948339483,0.118452860596293,-0.0871757925072046,0.120363062352013,0.0299401197604789,0.00866237078577815,"Nonmetallic Minerals Support Activity (exc Fuels)","2"
"Detroit",221111,3,3,0,0,0,0,0,0,0,3,2,0.00000106261851517127,0.0357961812979245,0,-1,NA,NA,NA,NA,NA,NA,NA,-0.333333333333333,0.0242424242424242,-0.0108005082592122,-0.148362235067437,-0.108974358974359,-0.406263224714346,0.362794012829651,-0.00235355648535562,-0.127391874180865,0.0841093421447883,-0.00221668052091994,0.000555401277422929,0.0155279215487061,"Hydroelectric Power Generation","2"
"Detroit",221112,8,9,43,0,37,1009,944,945,1039,1088,1101,0.000584971492601784,0.913406356404012,0.125,3.77777777777778,-1,NA,26.2702702702703,-0.0644202180376611,0.00105932203389836,0.0994708994708995,0.0471607314725697,0.0119485294117647,-0.290702670207772,-0.0275158770522802,0.17664570286833,-0.128461696259659,-0.120799225880691,0.151213635552383,-0.00214461971758195,-0.0320701218328003,0.0140984483681112,0.0550953649721688,-0.0282531784825792,-0.000193080594747055,"Fossil Fuel Electric Power Generation","2"
"Detroit",221113,0,0,0,0,0,0,0,31,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,-0.0303030303030303,-0.0733675957040258,0.068297365520674,0.266373801916933,0.0773152528119416,0.233473191198712,0.0156432314842283,-0.000623101487654765,0.00952770633621691,-0.0233339123386023,-0.048869654572761,-0.0130715937900024,"Nuclear Electric Power Generation","2"
"Detroit",221114,0,0,0,0,0,0,0,0,34,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,-0.0424242424242424,NA,NA,NA,NA,NA,NA,NA,NA,0.359213250517598,0.100533130236101,0.0207229753075642,"Solar Electric Power Generation ","2"
"Detroit",221115,0,0,0,0,0,0,0,0,10,10,7,0.00000371916480309945,0.138171944982393,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.3,-0.0163636363636364,NA,NA,NA,NA,NA,NA,NA,NA,-0.0392548236859614,0.13123268698061,0.00549279040620458,"Wind Electric Power Generation ","2"
"Detroit",221117,0,0,0,0,0,0,0,0,20,18,18,0.00000956356663654143,0.819169210266618,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,0,-0.00424242424242424,NA,NA,NA,NA,NA,NA,NA,NA,0.0734421364985163,-0.0207325501036627,0.00198486063367666,"Biomass Electric Power Generation ","2"
"Detroit",221118,0,0,0,0,0,0,0,0,3,0,3,0.00000159392777275691,0.0660500040370887,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,-0.0424242424242424,NA,NA,NA,NA,NA,NA,NA,NA,-0.0504038772213247,-0.00340251786321877,-0.00232393818980752,"Other Electric Power Generation ","2"
"Detroit",221121,0,0,18,0,0,392,376,500,591,619,638,0.000338975306339635,2.95013563373287,NA,NA,-1,NA,NA,-0.0408163265306123,0.329787234042553,0.182,0.0473773265651438,0.0306946688206786,0.0452511435208434,-0.198066841415465,0.0923391215526046,0.245184215447915,0.401622108741364,0.130304329189884,0.0233219567690557,0.273485269594219,0.0692565109850138,-0.0648387535719146,0.014623499454347,-0.00337614224375814,"Electric Bulk Power Transmission and Control","2"
"Detroit",221310,54,71,81,23,46,46,53,52,55,34,33,0.000017533205500326,0.0587571119352521,0.314814814814815,0.140845070422535,-0.716049382716049,1,0,0.152173913043478,-0.0188679245283019,0.0576923076923077,-0.381818181818182,-0.0294117647058824,-0.0351054750901269,-0.0115127472466502,-0.0191681634485855,0.0500729634610433,-0.0175209133763863,-0.0277901042822276,-0.0108974724710447,0.0718735579141669,-0.0418146593477559,0.020275203594496,-0.00313772982494775,0.00107343428930751,"Water Supply and Irrigation Systems","2"
"Detroit",221330,78,73,75,75,73,121,76,90,90,88,90,0.0000478178331827072,3.12705487863092,-0.0641025641025641,0.0273972602739727,0,-0.0266666666666666,0.657534246575342,-0.371900826446281,0.184210526315789,0,-0.0222222222222223,0.0227272727272727,0.000226234302550972,0.0981398332264272,-0.120327102803738,0.443559096945551,0.201011959521619,-0.124090386824971,0.0494097070397901,0.145,-0.201965065502183,-0.00592795257637935,-0.148623853211009,-0.0281347619592981,"Steam and Air-Conditioning Supply","2"
"Detroit",236210,1904,2005,1887,1858,1710,1227,2255,1861,1670,1707,2548,0.0013537759883282,1.85519108163942,0.053046218487395,-0.058852867830424,-0.0153683094859566,-0.0796555435952637,-0.282456140350877,0.837815810920945,-0.174722838137472,-0.102632993014508,0.0221556886227545,0.492677211482133,0.0298332453462262,0.175553027095682,0.109450440615398,-0.190265576497799,-0.0550850642679963,0.0423997348359297,0.0417562290932678,-0.109955314628965,0.0773251028806585,0.0799113793498605,0.0442856637543774,-0.00130594278099263,"Industrial Building Construction","2"
"Detroit",237120,116,106,115,179,164,298,213,1168,1267,1220,1535,0.00081555971039395,0.598276678917426,-0.0862068965517241,0.0849056603773586,0.556521739130435,-0.0837988826815642,0.817073170731707,-0.285234899328859,4.48356807511737,0.0847602739726028,-0.0370955011838989,0.258196721311475,0.0756764236811337,0.154602176768625,0.202253011803425,0.345370362547209,-0.100581534094477,-0.113351673672304,0.0148286398286399,0.0748989268004998,0.113183029042947,0.0382627418172856,0.0334609642903989,-0.0166334410517724,"Oil and Gas Pipeline and Related Structures Construction","2"
"Detroit",237130,3037,4500,2827,2327,2418,2469,2327,1349,3347,2417,2489,0.00132242874213065,0.839673021860988,0.481725386894962,-0.371777777777778,-0.176865935620799,0.0391061452513966,0.0210918114143921,-0.0575131632239774,-0.420283626987538,1.48109710896961,-0.277860770839558,0.0297889946214316,0.020745651210319,0.0879713810197882,0.0419833199050585,-0.0109140874798854,-0.0333042812244143,-0.0053111851811376,0.0497313747679056,-0.14775682789875,0.208269882595667,0.0393446288635693,-0.0653298519431242,-0.00357925553728992,"Power and Communication Line and Related Structures Construction","2"
"Detroit",237990,704,599,570,380,299,391,277,330,388,364,376,0.000199772280852199,0.294811231533294,-0.149147727272727,-0.0484140233722872,-0.333333333333333,-0.213157894736842,0.307692307692308,-0.29156010230179,0.191335740072202,0.175757575757576,-0.0618556701030928,0.0329670329670331,0.0285128748783623,0.107444303568194,0.0281530426439001,-0.253778037011506,-0.0406025723015704,-0.0108875985068436,0.0123702694202747,0.177754108788592,0.0554794950700246,-0.0210515041888805,-0.000206654267410622,0.00552318256518396,"Other Heavy and Civil Engineering Construction","2"
"Detroit",311111,14,2,12,0,7,10,18,14,22,15,15,0.00000796963886378453,0.0334544618220642,-0.857142857142857,5,-1,NA,0.428571428571429,0.8,-0.222222222222222,0.571428571428571,-0.318181818181818,0,-0.133036862127771,0.058900757892224,0.00473399458972046,0.196320394884451,0.0837396849212304,0.020723371117072,-0.0259398974272029,-0.159087942213133,0.0164553686934024,0.0511123555465052,0.400397152128638,0.0104463320843795,"Dog and Cat Food Manufacturing","3"
"Detroit",311119,55,52,21,19,14,9,16,9,7,7,23,0.0000122201129244696,0.0480667878921753,-0.0545454545454546,-0.596153846153846,-0.0952380952380952,-0.263157894736842,-0.357142857142857,0.777777777777778,-0.4375,-0.222222222222222,0,2.28571428571429,0.152802353149243,0.0321337886349706,-0.0598065829657278,-0.0215044061475533,-0.00955923034364048,-0.025447661608168,-0.026589816259593,-0.011940591468202,-0.00105949740092048,0.051539557853568,-0.0273907835844418,0.00204630388768735,"Other Animal Food Manufacturing","3"
"Detroit",311211,332,331,320,340,342,353,340,340,328,369,351,0.000186489549412558,1.41689352322266,-0.00301204819277112,-0.0332326283987915,0.0625,0.00588235294117645,0.0321637426900585,-0.0368271954674221,0,-0.0352941176470588,0.125,-0.0487804878048781,0.000727902164038024,-0.00752371606149815,0.00560316413974959,-0.0657980989839397,-0.0101745460924481,0.0658396101019052,-0.00532091785833055,-0.0189735874289535,0.03774388685354,0.0860426929392446,0.207665557907469,0.017696560269908,"Flour Milling","3"
"Detroit",311224,30,30,29,0,7,7,7,0,7,7,7,0.00000371916480309945,0.0475416265674014,0,-0.0333333333333333,-1,NA,0,0,-1,NA,0,0,0.0135353535353535,-0.0507370220038453,0.154832901991673,-0.104842638604696,-0.0876238162621095,-0.00369840133619659,0.0656208837264998,-1,NA,0.00580059100361163,0.0331882480957562,-0.0147363322372576,"Soybean and Other Oilseed Processing ","3"
"Detroit",311225,14,14,0,0,0,0,0,0,0,0,35,0.0000185958240154972,0.25700736976627,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,0.0424242424242424,-0.016264231202302,0.105176141421849,0.118296892980437,-0.0158468820745009,0.00156838143036397,0.0167032049274454,0.10175582708697,-0.103821062441752,-0.00821547420965063,-0.0791653559819649,-0.0127424136882844,"Fats and Oils Refining and Blending","3"
"Detroit",311230,0,0,0,0,0,0,0,7,3,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,-0.571428571428571,0,-1,-0.0718614718614719,0.0397005444646099,0.0855334933449705,-0.0694137353433836,0.127870977032184,0.0261091605489945,-0.050889635436108,-0.0536837965390666,-0.0128142965990165,0.102441762559641,-0.0482433808553971,-0.00613214161426902,"Breakfast Cereal Manufacturing","3"
